"Name","Team","PA","AB","1B","2B","3B","HR","R","RBI","SB","BB%","K%","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","playerid"
"Aaron Judge","NYY","696","570","87","28","0","62","133","131","16","15.9%","25.1%",".340",".311",".425",".686",".458","207","11.4","15640"
"Yordan Alvarez","HOU","561","470","76","29","2","37","95","97","1","13.9%","18.9%",".320",".306",".406",".613",".427","185","6.6","19556"
"Paul Goldschmidt","STL","651","561","102","41","0","35","106","115","7","12.1%","21.7%",".368",".317",".404",".578",".419","177","7.1","9218"
"Mike Trout","LAA","499","438","54","28","2","40","85","80","1","10.8%","27.9%",".323",".283",".369",".630",".418","176","6.0","10155"
"Jose Altuve","HOU","604","527","91","39","0","28","103","57","18","10.9%","14.4%",".315",".300",".387",".533",".397","164","6.6","5417"
"Freddie Freeman","LAD","708","612","129","47","2","21","117","100","13","11.9%","14.4%",".359",".325",".407",".511",".393","157","7.1","5361"
"Manny Machado","SDP","644","578","102","37","1","32","100","102","9","9.8%","20.7%",".337",".298",".366",".531",".382","152","7.4","11493"
"Nolan Arenado","STL","620","557","90","42","1","30","73","103","5","8.4%","11.6%",".290",".293",".358",".533",".381","151","7.3","9777"
"Austin Riley","ATL","693","615","89","39","2","38","90","93","2","8.2%","24.2%",".315",".273",".349",".528",".377","142","5.5","18360"
"Juan Soto","- - -","664","524","73","25","2","27","93","62","6","20.3%","14.5%",".249",".242",".401",".452",".376","145","3.8","20123"
"Mookie Betts","LAD","639","572","76","40","3","35","117","82","12","8.6%","16.3%",".272",".269",".340",".533",".373","144","6.6","13611"
"Joc Pederson","SFG","433","380","59","19","3","23","57","70","3","9.7%","23.1%",".310",".274",".353",".521",".373","144","2.1","11899"
"Rafael Devers","BOS","614","555","94","42","1","27","84","88","3","8.0%","18.6%",".329",".295",".358",".521",".373","140","4.9","17350"
"Shohei Ohtani","LAA","666","586","90","30","6","34","90","95","11","10.8%","24.2%",".320",".273",".356",".519",".370","142","3.8","19755"
"Bryce Harper","PHI","426","370","59","28","1","18","63","65","11","10.8%","20.4%",".324",".286",".364",".514",".369","138","2.4","11579"
"Nathaniel Lowe","TEX","645","593","123","26","3","27","74","76","2","7.4%","22.8%",".363",".302",".358",".492",".368","143","3.0","19566"
"Michael Harris II","ATL","441","414","74","27","3","19","75","64","20","4.8%","24.3%",".361",".297",".339",".514",".367","136","4.8","25931"
"Julio Rodriguez","SEA","560","511","89","25","3","28","84","75","25","7.1%","25.9%",".345",".284",".345",".509",".366","146","5.3","23697"
"Yandy Diaz","TBR","558","473","98","33","0","9","71","57","3","14.0%","10.8%",".323",".296",".401",".423",".366","146","3.8","16578"
"Pete Alonso","NYM","685","597","95","27","0","40","95","131","5","9.8%","18.7%",".279",".271",".352",".518",".366","143","4.0","19251"
"Jeff McNeil","NYM","589","533","125","39","1","9","73","62","4","6.8%","10.4%",".353",".326",".382",".454",".365","143","5.9","15362"
"Andres Gimenez","CLE","557","491","100","26","3","17","66","69","20","6.1%","20.1%",".353",".297",".371",".466",".364","140","6.1","19950"
"Xander Bogaerts","BOS","631","557","118","38","0","15","84","73","8","9.0%","18.7%",".362",".307",".377",".456",".363","134","6.1","12161"
"Jose Ramirez","CLE","685","601","90","44","5","29","91","126","20","10.1%","12.0%",".279",".280",".355",".514",".363","139","6.2","13510"
"Carlos Correa","MIN","590","522","105","24","1","22","70","64","0","10.3%","20.5%",".339",".291",".366",".467",".362","140","4.4","14162"
"Taylor Ward","LAA","564","495","92","22","2","23","73","65","5","10.6%","21.3%",".325",".281",".360",".473",".362","137","3.8","17548"
"Jose Abreu","CHW","679","601","128","40","0","15","85","75","0","9.1%","16.2%",".350",".304",".378",".446",".361","137","3.9","15676"
"Alex Bregman","HOU","656","548","81","38","0","23","93","93","1","13.3%","11.7%",".260",".259",".366",".454",".358","136","5.5","17678"
"Willson Contreras","CHC","487","416","54","23","2","22","65","55","4","9.2%","21.1%",".270",".243",".349",".466",".357","132","3.3","11609"
"Starling Marte","NYM","505","466","91","24","5","16","76","63","18","5.1%","19.2%",".340",".292",".347",".468",".355","136","3.0","9241"
"Kyle Schwarber","PHI","669","577","56","21","3","46","100","94","10","12.9%","29.9%",".240",".218",".323",".504",".355","128","2.6","16478"
"J.T. Realmuto","PHI","562","504","86","26","5","22","75","84","21","7.3%","21.2%",".318",".276",".342",".478",".354","128","6.5","11739"
"Adley Rutschman","BAL","470","398","52","35","1","13","70","42","4","13.8%","18.3%",".291",".254",".362",".445",".354","133","5.3","26288"
"Brandon Nimmo","NYM","673","580","106","30","7","16","102","64","3","10.5%","17.2%",".317",".274",".367",".433",".353","134","5.4","12927"
"Anthony Rizzo","NYY","548","465","50","21","1","32","77","75","6","10.6%","18.4%",".216",".224",".338",".480",".352","132","2.4","3473"
"George Springer","TOR","583","513","86","22","4","25","89","76","14","9.3%","17.2%",".285",".267",".342",".472",".352","132","4.2","12856"
"Vladimir Guerrero Jr.","TOR","706","638","108","35","0","32","90","97","8","8.2%","16.4%",".289",".274",".339",".480",".351","132","2.8","19611"
"Trea Turner","LAD","708","652","130","39","4","21","101","100","27","6.4%","18.5%",".342",".298",".343",".466",".350","128","6.3","16252"
"Brandon Drury","- - -","568","518","75","31","2","28","87","87","2","6.7%","22.2%",".293",".263",".320",".492",".350","123","3.0","11615"
"Luis Arraez","MIN","603","547","133","31","1","8","88","49","4","8.3%","7.1%",".331",".316",".375",".420",".350","131","3.2","18568"
"Daniel Vogelbach","- - -","461","386","54","19","1","18","47","59","0","15.8%","24.7%",".290",".238",".360",".433",".349","128","1.5","14130"
"Bryan Reynolds","PIT","614","542","92","19","4","27","74","62","7","9.1%","23.0%",".306",".262",".345",".461",".349","125","2.9","19326"
"Brendan Donovan","STL","468","391","83","21","1","5","64","45","2","12.8%","15.0%",".330",".281",".394",".379",".349","129","2.7","24679"
"Will Smith","LAD","578","508","79","26","3","24","68","87","1","9.7%","16.6%",".276",".260",".343",".465",".349","127","3.9","19197"
"Teoscar Hernandez","TOR","535","499","72","35","1","25","71","77","6","6.4%","28.4%",".335",".267",".316",".491",".348","129","2.4","13066"
"Kyle Tucker","HOU","609","544","81","28","1","30","71","107","25","9.7%","15.6%",".261",".257",".330",".478",".348","129","4.7","18345"
"Bo Bichette","TOR","697","652","121","43","1","24","91","93","13","5.9%","22.2%",".347",".290",".333",".469",".347","129","4.5","19612"
"Alejandro Kirk","TOR","541","470","101","19","0","14","59","63","0","11.6%","10.7%",".299",".285",".372",".415",".347","129","3.8","22581"
"Hunter Renfroe","MIL","522","474","68","23","1","29","62","72","1","7.5%","23.2%",".281",".255",".315",".492",".347","124","2.5","15464"
"Christian Walker","ARI","667","583","78","25","2","36","84","94","2","10.3%","19.6%",".248",".242",".327",".477",".346","122","4.1","13419"
"Rhys Hoskins","PHI","672","589","80","33","2","30","81","79","2","10.7%","25.1%",".292",".246",".332",".462",".345","122","2.2","16472"
"Eugenio Suarez","SEA","629","543","71","24","2","31","76","87","0","11.6%","31.2%",".302",".236",".332",".459",".344","131","4.1","12552"
"Matt Olson","ATL","699","616","70","44","0","34","86","103","0","10.7%","24.3%",".274",".240",".325",".477",".344","120","3.1","14344"
"Josh Bell","- - -","647","552","98","29","3","17","78","71","0","12.5%","15.8%",".296",".266",".362",".422",".344","123","2.0","13145"
"Mark Canha","NYM","542","462","86","24","0","13","71","61","3","8.9%","17.9%",".309",".266",".367",".403",".343","128","2.8","11445"
"Travis d'Arnaud","ATL","426","396","62","25","1","18","61","60","0","4.5%","21.1%",".306",".268",".319",".472",".343","120","3.9","7739"
"J.D. Martinez","BOS","596","533","86","43","1","16","76","62","0","8.7%","24.3%",".345",".274",".341",".448",".343","119","1.0","6184"
"Justin Turner","LAD","532","468","81","36","0","13","61","81","3","9.4%","16.7%",".313",".278",".350",".438",".343","123","2.4","5235"
"Andrew Benintendi","- - -","521","461","109","23","3","5","54","51","8","10.0%","14.8%",".352",".304",".373",".399",".342","122","2.8","17901"
"Francisco Lindor","NYM","706","630","114","25","5","26","98","107","16","8.4%","18.8%",".301",".270",".339",".449",".342","127","6.8","12916"
"Steven Kwan","CLE","638","563","130","25","7","6","89","52","19","9.7%","9.4%",".323",".298",".373",".400",".341","124","4.4","24610"
"Ian Happ","CHC","641","573","94","42","2","17","72","72","9","9.0%","23.2%",".336",".271",".342",".440",".339","120","3.5","17919"
"Ty France","SEA","613","551","104","27","1","20","65","84","0","5.7%","15.3%",".299",".276",".340",".437",".339","127","2.5","17982"
"Dansby Swanson","ATL","696","640","119","32","1","25","99","96","18","7.0%","26.1%",".348",".277",".329",".447",".337","116","6.4","18314"
"Kolten Wong","MIL","497","430","65","24","4","15","65","47","17","9.3%","17.7%",".280",".251",".339",".430",".336","116","2.5","12532"
"Anthony Santander","BAL","647","574","81","24","0","33","78","89","0","8.5%","18.9%",".248",".240",".318",".455",".336","120","2.5","14551"
"Randy Arozarena","TBR","645","586","90","41","3","20","72","89","32","7.1%","24.2%",".325",".263",".327",".445",".336","125","2.7","19290"
"Ronald Acuna Jr.","ATL","533","467","85","24","0","15","71","50","29","9.9%","23.6%",".331",".266",".351",".413",".335","114","2.2","18401"
"C.J. Cron","COL","632","575","88","28","3","29","79","102","0","6.8%","25.9%",".307",".257",".315",".468",".335","101","1.3","12546"
"Seiya Suzuki","CHC","446","397","66","22","2","14","54","46","9","9.4%","24.7%",".326",".262",".336",".433",".334","116","2.0","30116"
"Jorge Polanco","MIN","445","375","56","16","0","16","54","56","3","14.4%","21.3%",".269",".235",".346",".405",".333","119","1.8","13152"
"Gio Urshela","MIN","551","501","100","27","3","13","61","64","1","7.4%","17.4%",".326",".285",".338",".429",".332","119","2.4","10681"
"Josh Naylor","CLE","498","449","67","28","0","20","47","79","6","7.6%","16.1%",".268",".256",".319",".452",".331","117","1.7","18839"
"Sean Murphy","OAK","612","537","77","37","2","18","67","66","1","9.2%","20.3%",".290",".250",".332",".426",".331","122","5.1","19352"
"Corey Seager","TEX","663","593","87","24","1","33","91","83","3","8.7%","15.5%",".242",".245",".317",".455",".331","117","4.5","13624"
"Matt Chapman","TOR","621","538","68","27","1","27","83","76","2","11.0%","27.4%",".277",".229",".324",".433",".331","117","4.1","16505"
"Garrett Cooper","MIA","469","414","64","33","2","9","37","50","0","8.5%","25.4%",".340",".261",".337",".415",".330","115","1.4","15279"
"Cal Raleigh","SEA","415","370","30","20","1","27","46","63","1","9.2%","29.4%",".226",".211",".284",".489",".330","121","4.2","21534"
"DJ LeMahieu","NYY","541","467","92","18","0","12","74","46","4","12.4%","13.1%",".285",".261",".357",".377",".329","116","3.0","9874"
"Jose Miranda","MIN","483","444","79","25","0","15","45","66","1","5.8%","18.8%",".307",".268",".325",".426",".329","117","1.1","20538"
"Gleyber Torres","NYY","572","526","82","28","1","24","73","76","10","6.8%","22.6%",".295",".257",".310",".451",".328","115","2.7","16997"
"Gavin Lux","LAD","471","421","83","20","7","6","66","42","7","10.0%","20.2%",".341",".276",".346",".399",".328","113","3.0","19955"
"Christian Yelich","MIL","671","575","102","25","4","14","99","57","19","13.1%","24.1%",".327",".252",".355",".383",".328","111","2.3","11477"
"Harold Ramirez","TBR","435","403","91","24","0","6","46","58","3","4.4%","16.6%",".350",".300",".343",".404",".327","119","1.2","14387"
